nsw,age,educ,black,hisp,married,re74,re75,re78,u74,u75,u78
0,26,5,1,0,0,0,0,0,1,1,1
0,36,10,1,0,0,0,0,14690.4,1,1,0
0,22,11,1,0,0,0,0,0,1,1,1
0,25,12,1,0,0,0,0,3418.1,1,1,0
0,27,11,1,0,0,0,0,11197.3,1,1,0
0,29,8,1,0,0,0,0,0,1,1,1
0,24,12,1,0,0,0,0,0,1,1,1
0,22,10,1,0,0,0,0,0,1,1,1
0,24,7,1,0,0,0,0,1455.69,1,1,0
0,29,12,1,0,0,0,0,1890.94,1,1,0
0,25,11,0,1,1,0,0,4485.62,1,1,0
0,30,12,1,0,0,0,0,13613.4,1,1,0
0,22,8,1,0,0,0,0,1390.51,1,1,0
0,55,3,1,0,0,0,0,5843.8,1,1,0
0,20,10,1,0,0,0,0,8598.52,1,1,0
0,34,11,1,0,0,0,0,2920.2,1,1,0
0,22,12,1,0,0,0,0,0,1,1,1
0,32,12,0,1,1,0,0,6735.32,1,1,0
0,31,10,1,0,0,0,0,0,1,1,1
0,18,9,1,0,0,0,0,0,1,1,1
0,50,10,0,1,0,0,0,0,1,1,1
0,25,11,1,0,1,0,0,44.7555,1,1,0
0,23,10,1,0,1,0,0,0,1,1,1
0,38,10,1,0,0,0,0,0,1,1,1
0,25,10,1,0,1,0,0,3701.81,1,1,0
0,42,10,1,0,0,0,0,6930.34,1,1,0
0,39,12,1,0,1,0,0,3795.8,1,1,0
0,34,13,1,0,1,0,0,5193.25,1,1,0
0,24,7,1,0,0,0,0,2193.53,1,1,0
0,32,11,1,0,0,0,0,11120.5,1,1,0
0,27,13,1,0,0,0,0,7609.52,1,1,0
0,26,10,1,0,0,0,0,2169.03,1,1,0
0,44,11,1,0,0,0,0,0,1,1,1
0,25,11,1,0,0,0,0,1264.23,1,1,0
0,25,12,1,0,0,0,0,0,1,1,1
0,28,12,1,0,1,0,0,0,1,1,1
0,32,10,1,0,0,0,0,0,1,1,1
0,22,10,1,0,0,0,0,0,1,1,1
0,19,9,1,0,0,0,0,5712.64,1,1,0
0,31,10,1,0,1,0,0,0,1,1,1
0,23,11,1,0,0,0,0,0,1,1,1
0,33,11,1,0,0,0,0,0,1,1,1
0,27,10,1,0,0,0,0,1184.88,1,1,0
0,29,11,1,0,1,0,0,10225.9,1,1,0
0,23,10,1,0,0,0,0,0,1,1,1
0,25,9,1,0,1,0,0,4715.37,1,1,0
0,25,10,1,0,0,0,0,289.79,1,1,0
0,24,10,1,0,0,0,0,0,1,1,1
0,28,8,0,0,0,0,0,8190.42,1,1,0
0,26,6,1,0,0,0,0,4813.05,1,1,0
0,30,14,1,0,1,0,0,7344.68,1,1,0
0,25,10,1,0,1,0,0,0,1,1,1
0,29,11,1,0,1,0,0,0,1,1,1
0,25,12,1,0,1,0,0,0,1,1,1
0,28,13,1,0,0,0,0,0,1,1,1
0,23,11,1,0,0,0,0,4350.91,1,1,0
0,54,11,1,0,0,0,0,7812.52,1,1,0
0,33,5,0,1,0,0,0,0,1,1,1
0,20,8,1,0,0,0,0,3644.66,1,1,0
0,45,9,1,0,0,0,0,4844.8,1,1,0
0,39,6,1,0,0,0,0,0,1,1,1
0,26,12,1,0,0,0,0,0,1,1,1
0,23,10,1,0,0,0,0,0,1,1,1
0,27,12,0,0,0,0,0,14792.9,1,1,0
0,33,9,0,1,1,0,0,0,1,1,1
0,25,10,1,0,1,0,0,0,1,1,1
0,23,8,1,0,0,0,0,3746.7,1,1,0
0,18,8,1,0,0,0,0,1568.15,1,1,0
0,17,8,1,0,0,0,0,7010.44,1,1,0
0,19,9,0,1,0,0,0,3811.68,1,1,0
0,18,8,0,1,0,0,0,10798.6,1,1,0
0,18,11,1,0,0,0,0,4657.27,1,1,0
0,17,11,1,0,0,0,0,8551.53,1,1,0
0,19,10,1,0,0,0,0,4309.88,1,1,0
0,19,10,1,0,0,0,0,5286.4,1,1,0
0,18,9,1,0,0,0,0,12486.2,1,1,0
0,18,9,1,0,0,0,0,10877.4,1,1,0
0,18,10,1,0,0,0,0,202.285,1,1,0
0,17,10,1,0,0,0,0,2657.71,1,1,0
0,18,7,1,0,0,0,0,4132.58,1,1,0
0,18,11,1,0,0,0,0,11303.1,1,1,0
0,19,10,0,1,0,0,0,0,1,1,1
0,18,9,1,0,0,0,0,0,1,1,1
0,17,10,1,0,0,0,0,0,1,1,1
0,17,10,1,0,0,0,0,2189.43,1,1,0
0,19,11,1,0,0,0,0,0,1,1,1
0,17,8,0,0,0,0,0,10211,1,1,0
0,18,10,1,0,0,0,0,11048.1,1,1,0
0,18,9,1,0,0,0,0,0,1,1,1
0,17,8,1,0,0,0,0,8993.87,1,1,0
0,19,6,0,1,0,0,0,5071.8,1,1,0
0,19,10,0,0,0,0,0,3194.01,1,1,0
0,17,11,0,0,0,0,0,0,1,1,1
0,20,9,1,0,0,0,0,5193.09,1,1,0
0,17,9,1,0,0,0,0,0,1,1,1
0,17,10,1,0,0,0,0,275.566,1,1,0
0,17,9,1,0,0,0,0,3590.7,1,1,0
0,19,11,1,0,0,0,0,0,1,1,1
0,19,10,1,0,1,0,0,12797.7,1,1,0
0,20,9,1,0,0,0,0,2035.91,1,1,0
0,18,9,1,0,0,0,0,2389.68,1,1,0
0,18,11,1,0,0,0,0,0,1,1,1
0,17,10,0,1,0,0,0,8469.28,1,1,0
0,19,11,1,0,0,0,0,0,1,1,1
0,17,10,1,0,0,0,0,1143.39,1,1,0
0,17,9,0,1,0,0,0,5114.81,1,1,0
0,18,10,1,0,0,0,0,781.224,1,1,0
0,21,9,1,0,0,591.499,0,3343.22,0,1,0
0,18,10,1,0,0,1563.25,0,9602.44,0,1,0
0,19,11,1,0,0,1626.62,0,0,0,1,1
0,24,9,1,0,0,2788.5,0,16461.6,0,1,0
0,28,11,0,1,1,3472.95,0,6771.62,0,1,0
0,25,11,1,0,0,5281.25,0,0,0,1,1
0,21,7,1,0,0,33800,0,11011.6,0,1,0
0,39,11,1,0,0,0,83.6896,0,1,0,1
0,36,12,1,0,0,0,142.397,0,1,0,1
0,24,12,1,0,0,0,159.885,0,1,0,1
0,17,11,1,0,0,989.268,165.208,4251.13,0,0,0
0,18,10,1,0,0,960.427,240.107,2891.67,0,0,0
0,18,10,1,0,0,0,273.553,5514.37,1,0,0
0,28,10,1,0,0,1471.29,367.823,4858.9,0,0,0
0,27,13,0,0,0,5214.31,474.502,4812.58,0,0,0
0,31,12,0,0,0,0,494.643,0,1,0,1
0,22,9,1,0,0,0,506.408,604.199,1,0,0
0,31,10,1,0,0,0,520.446,14527.9,1,0,0
0,26,10,1,0,1,6140.37,558.773,0,0,0,1
0,18,9,0,0,0,0,559.596,7300.5,1,0,0
0,23,11,1,0,0,6382.31,580.79,0,0,0,1
0,20,12,1,0,0,0,591.815,4159.92,1,0,0
0,19,10,1,0,0,0,604.154,0,1,0,1
0,18,11,1,0,0,1064.7,645.272,5497.59,0,0,0
0,17,10,1,0,0,0,664.569,0,1,0,1
0,27,12,1,0,1,0,752.39,0,1,0,1
0,27,11,1,0,0,3065.19,766.299,0,0,0,1
0,28,12,0,0,0,0,803.343,16477,1,0,0
0,28,11,1,0,0,2431.95,863.48,0,0,0,1
0,21,10,1,0,0,6661.06,1162.36,39483.5,0,0,0
0,17,10,0,1,0,4905.12,1168.9,11306.3,0,0,0
0,26,11,1,0,0,4699.96,1174.99,6672.02,0,0,0
0,29,9,1,0,0,0,1203.82,9378.65,1,0,0
0,17,10,0,1,0,1203.61,1239.63,5088.99,0,0,0
0,22,11,1,0,0,7914.13,1321.66,2639.29,0,0,0
0,24,11,1,0,0,0,1327.99,9495.9,1,0,0
0,20,12,1,0,0,557.699,1371.47,20893.1,0,0,0
0,18,12,1,0,0,0,1405.51,0,1,0,1
0,24,11,0,0,0,2669.73,1468.38,10361.7,0,0,0
0,21,9,0,0,0,2988.41,1577.17,1740.2,0,0,0
0,30,8,1,0,0,0,1706.66,0,1,0,1
0,31,11,1,0,0,17711.9,1726.45,0,0,0,1
0,17,10,0,1,0,1442.68,1734.56,6354.19,0,0,0
0,19,9,1,0,0,8409.63,1778.09,7171,0,0,0
0,23,11,1,0,0,0,1896.02,5573.55,1,0,0
0,22,12,1,0,0,4380.02,2003.68,439.688,0,0,0
0,29,12,1,0,0,22859.4,2080.21,16970,0,0,0
0,22,10,1,0,0,0,2174.96,5344.02,1,0,0
0,29,13,1,0,0,718.249,2265.58,2725.32,0,0,0
0,19,11,1,0,0,721.341,2445.59,9772.28,0,0,0
0,17,9,1,0,0,0,2595.27,0,1,0,1
0,18,10,1,0,0,1716.51,2682.13,0,0,0,1
0,19,12,1,0,0,8417,2814.2,1720.91,0,0,0
0,20,6,1,0,0,6006.88,2850.61,0,0,0,1
0,33,11,1,0,0,10523.8,2899.82,18859.9,0,0,0
0,36,11,0,1,0,5443.73,3063.88,1324.54,0,0,0
0,25,11,1,0,0,15210,3072.73,284.658,0,0,0
0,19,11,1,0,0,3504.01,3285.68,11195.9,0,0,0
0,23,8,1,0,0,7724.28,3403.06,0,0,0,1
0,17,11,1,0,0,4080.73,3796.03,0,0,0,1
0,43,10,1,0,0,2502.87,4128.44,7565.27,0,0,0
0,26,11,1,0,1,0,4184.73,0,1,0,1
0,27,11,1,0,1,0,4491.88,0,1,0,1
0,19,11,1,0,0,6337.49,4503.06,0,0,0,1
0,28,11,1,0,1,8593.16,5393.9,4974.59,0,0,0
0,28,12,1,0,1,10585.1,5551.46,12780,0,0,0
0,26,8,1,0,0,1126.29,5562.6,3523.58,0,0,0
0,31,12,1,0,0,0,5613.91,0,1,0,1
0,23,11,1,0,0,7617.36,5716.41,10274.8,0,0,0
0,20,12,1,0,0,7182.49,6004.73,4779.72,0,0,0
0,28,10,1,0,1,8293.35,6449.48,16988.2,0,0,0
0,39,12,1,0,1,19785.3,6608.14,499.257,0,0,0
0,21,8,1,0,0,39570.7,6608.3,3083.58,0,0,0
0,22,11,1,0,0,8810.07,6974.48,3708.72,0,0,0
0,20,11,1,0,0,8009.16,7666.88,7659.22,0,0,0
0,21,11,0,1,0,2992.53,8920.47,20857.8,0,0,0
0,23,12,0,1,0,5721.7,8960.68,7078.18,0,0,0
0,29,9,1,0,0,9268.94,9160.69,0,0,0,1
0,28,9,1,0,1,10222.4,9210.45,1239.84,0,0,0
0,30,11,1,0,1,0,9311.94,3982.8,1,0,0
0,25,10,1,0,1,13520,9319.44,0,0,0,1
0,28,11,1,0,1,824.389,10033.9,0,0,0,1
0,22,10,0,0,0,27864.4,10598.7,7094.92,0,0,0
0,44,9,1,0,1,12260.8,10857.2,12359.3,0,0,0
0,21,9,1,0,0,31886.4,12357.2,0,0,0,1
0,28,11,1,0,0,17491.5,13371.3,0,0,0,1
0,29,9,0,1,0,9594.31,16341.2,16900.3,0,0,0
0,25,9,1,0,1,24731.6,16946.6,7343.96,0,0,0
0,22,10,0,0,1,25720.9,23032,5448.8,0,0,0
